eval_id,x1,y1,x2,y2,x3,y3,angle,objective_value,max_stress,geometry_valid,stress_valid,fem_valid,failure_reason,best_feasible_objective_so_far
33,39.48408236,25.56198301,16.15401027,49.08662263,28.48462845,25.80298978,18.62921316,,,False,False,False,circle 1 to capsule clearance is -13.215 mm; minimum is 1.000 mm,
34,13.9926692,28.0703101,19.33230279,17.21865767,39.28096709,33.56124458,45.58135016,,,False,False,False,circle 1 to circle 2 clearance is -2.906 mm; minimum is 1.000 mm,
35,26.23498384,26.02541393,12.47742705,41.96114026,38.4813053,31.42204733,87.38926776,,,False,False,False,circle 1 to capsule clearance is -4.021 mm; minimum is 1.000 mm,
36,48.66585028,24.83056734,26.65400937,18.37720973,18.79214233,34.17435518,84.71163287,,,False,False,False,circle 2 to capsule clearance is -6.000 mm; minimum is 1.000 mm,
37,35.47495506,12.28239587,18.89759998,40.49735799,34.36910403,43.16492107,13.46855604,,,False,False,False,circle 2 to capsule clearance is -7.010 mm; minimum is 1.000 mm,
38,40.93049766,31.98652381,35.37773949,37.45280245,31.71485343,18.8529758,11.78185621,,,False,False,False,circle 1 to circle 2 clearance is -7.208 mm; minimum is 1.000 mm,
39,45.32414426,39.32892594,42.28055446,32.11939921,15.25165197,27.48827051,33.45209241,,,False,False,False,capsule edge clearance is -2.678 mm; minimum is 2.000 mm,
40,40.77137963,24.67532821,38.77076993,42.34930732,16.94884107,44.58185041,7.406584502,,,False,False,False,capsule edge clearance is -2.947 mm; minimum is 2.000 mm,
41,36.46791117,41.14472254,45.07925343,34.38961046,36.51782148,17.56232814,5.408557598,,,False,False,False,circle 1 to circle 2 clearance is -4.055 mm; minimum is 1.000 mm,
42,48.27500797,29.70153412,33.24212117,11.39447819,29.49223648,22.43758794,8.689475515,,,False,False,False,circle 1 to capsule clearance is -5.317 mm; minimum is 1.000 mm,
43,17.28606642,31.44272263,16.43086038,8.583516721,33.18703768,21.23728777,66.06159599,,,False,False,False,circle 1 to capsule clearance is -5.603 mm; minimum is 1.000 mm,
44,40.06646699,34.01368198,39.67779517,49.78294989,34.03427049,25.00903385,84.09640767,,,False,False,False,circle 1 to circle 2 clearance is 0.774 mm; minimum is 1.000 mm,
45,11.62183805,21.95347221,29.92530921,15.89553279,29.13886757,24.1545374,59.09850993,,,False,False,False,circle 1 to capsule clearance is -0.339 mm; minimum is 1.000 mm,
46,43.4047274,16.32192091,40.01604093,46.10038324,17.47213829,28.20792865,57.71470166,10752.00737,358.75075,True,False,True,max_stress 358.751 exceeds limit 275,
47,11.20013503,33.77724522,25.34276992,35.25496789,25.23498638,20.63986616,26.48102482,,,False,False,False,circle 1 to circle 2 clearance is -0.780 mm; minimum is 1.000 mm,
48,19.54642534,46.33121588,17.73450309,36.44362281,24.00849516,35.40374884,76.78250607,,,False,False,False,circle 1 to circle 2 clearance is -4.948 mm; minimum is 1.000 mm,
49,33.24265826,14.29917417,45.84199827,17.5639233,40.4693734,34.73243161,43.53560194,,,False,False,False,circle 1 to circle 2 clearance is -1.985 mm; minimum is 1.000 mm,
50,31.45616238,45.16974861,40.38817249,30.96477955,43.02210878,13.06539931,20.94635754,,,False,False,False,capsule edge clearance is -2.196 mm; minimum is 2.000 mm,
51,14.86504761,19.05054291,21.51459191,12.80747454,19.26262935,45.95327759,14.15082475,,,False,False,False,capsule edge clearance is -0.358 mm; minimum is 2.000 mm,
52,28.65977244,42.11993078,42.70448301,33.6576698,35.15028079,23.55360155,59.9436134,,,False,False,False,circle 1 to capsule clearance is -8.749 mm; minimum is 1.000 mm,
53,27.20485924,34.45350013,11.42922861,39.54165645,34.68012108,21.08242709,75.44448461,,,False,False,False,capsule edge clearance is 1.484 mm; minimum is 2.000 mm,
54,21.55675149,36.80195236,25.85024968,9.288327895,46.91605405,29.21857584,71.47978279,,,False,False,False,capsule edge clearance is 1.613 mm; minimum is 2.000 mm,
55,38.3076775,23.67086614,41.32947954,27.80186086,44.87768104,45.11821515,39.44458586,,,False,False,False,capsule edge clearance is -2.031 mm; minimum is 2.000 mm,
56,47.63106457,22.75833994,9.38974558,50.66129286,41.29913544,30.17019095,48.0515536,,,False,False,False,circle 1 to capsule clearance is -16.255 mm; minimum is 1.000 mm,
57,43.88783151,47.30342066,27.85922105,23.09649559,46.55843862,38.11044179,30.125247,,,False,False,False,capsule edge clearance is -4.870 mm; minimum is 2.000 mm,
58,45.72581338,37.20010813,9.114981435,38.14265871,15.81277576,39.44319228,22.49989523,,,False,False,False,capsule edge clearance is -3.236 mm; minimum is 2.000 mm,
59,30.35479567,37.70408309,28.04625185,42.67077238,36.03070663,31.85754797,47.73802293,,,False,False,False,circle 1 to circle 2 clearance is -9.523 mm; minimum is 1.000 mm,
60,41.73396977,32.69885494,37.95766875,29.29076115,45.61582598,26.32301644,79.74519905,,,False,False,False,circle 1 to circle 2 clearance is -9.913 mm; minimum is 1.000 mm,
61,47.20365672,34.86402464,23.79120939,51.77508935,25.92784468,31.12474586,26.95060592,,,False,False,False,circle 1 to capsule clearance is -2.675 mm; minimum is 1.000 mm,
62,36.13152891,19.28725025,24.75342223,25.84141097,30.94584332,21.86922641,23.71351043,,,False,False,False,circle 1 to circle 2 clearance is -1.869 mm; minimum is 1.000 mm,
63,37.07954593,47.71040872,17.24211251,32.00896803,27.92701152,12.23788393,38.26556579,,,False,False,False,capsule edge clearance is -3.003 mm; minimum is 2.000 mm,
64,42.4487256,21.32091754,41.63397041,15.53302172,47.22454573,33.66444717,18.26860947,,,False,False,False,capsule edge clearance is -6.595 mm; minimum is 2.000 mm,
65,30.19746548,44.40869616,48.48066216,19.18261428,40.04787479,32.70102916,36.47624625,,,False,False,False,circle 1 to capsule clearance is -12.219 mm; minimum is 1.000 mm,
66,25.18099032,46.74357453,32.18412933,30.6421219,22.37596464,36.57831169,88.36596545,,,False,False,False,circle 1 to capsule clearance is -13.406 mm; minimum is 1.000 mm,
67,13.25564248,26.30821959,37.17893469,11.56129782,44.05592188,27.29690417,42.83664796,,,False,False,False,capsule edge clearance is -0.722 mm; minimum is 2.000 mm,
68,28.19458283,17.88974796,10.46110523,41.27688065,18.34942829,32.50238914,69.27362905,,,False,False,False,circle 1 to capsule clearance is -10.342 mm; minimum is 1.000 mm,
69,39.30827862,43.0543657,30.66834541,46.69823899,20.9436213,39.03819778,55.1496321,,,False,False,False,circle 1 to circle 2 clearance is -5.623 mm; minimum is 1.000 mm,
70,44.65628399,40.44925541,15.37477873,26.69119399,14.65832485,41.45644751,1.092830875,,,False,False,False,capsule edge clearance is -5.339 mm; minimum is 2.000 mm,
71,23.10141672,13.01580174,35.81409891,49.04867335,27.35582233,13.64263838,35.43609698,,,False,False,False,capsule edge clearance is -1.105 mm; minimum is 2.000 mm,
72,20.5883023,30.32219628,13.99831673,44.99211909,47.8721695,44.10164511,82.92184298,,,False,False,False,capsule edge clearance is -4.006 mm; minimum is 2.000 mm,
73,33.89439303,17.48602222,26.78377004,43.61915783,45.43971957,38.68363005,61.09408815,,,False,False,False,capsule edge clearance is 1.018 mm; minimum is 2.000 mm,
74,18.00539994,20.54786536,29.41512497,21.6290911,25.69582815,43.29252438,67.53335372,,,False,False,False,capsule edge clearance is -2.344 mm; minimum is 2.000 mm,
75,19.780972,38.54351686,28.88806062,34.61189194,31.23941419,47.48506002,11.24537111,,,False,False,False,circle 1 to circle 2 clearance is -5.080 mm; minimum is 1.000 mm,
76,20.3261272,45.39227654,20.63991454,14.49135412,36.7351755,47.49712034,87.99682494,,,False,False,False,capsule edge clearance is -7.489 mm; minimum is 2.000 mm,
77,34.60192428,12.27629091,36.12313115,16.56301549,31.25320494,25.97869049,30.30919733,,,False,False,False,circle 1 to circle 2 clearance is -10.451 mm; minimum is 1.000 mm,
78,44.45763055,25.47308013,10.9282018,26.22875716,28.37023692,36.16775723,45.54936912,,,False,False,False,circle 1 to capsule clearance is -8.955 mm; minimum is 1.000 mm,
79,19.0487614,18.87905537,40.99775876,32.13419979,37.46893392,23.19624875,46.34593063,,,False,False,False,circle 1 to capsule clearance is -0.192 mm; minimum is 1.000 mm,
80,19.61023958,24.11502268,11.10391215,31.89689199,32.76828535,43.55103502,43.4774004,,,False,False,False,capsule edge clearance is 0.348 mm; minimum is 2.000 mm,
81,34.97579559,13.19618705,42.02211984,45.1498469,45.85690969,23.53732689,38.07562217,,,False,False,False,capsule edge clearance is -3.197 mm; minimum is 2.000 mm,
82,24.47703081,27.0854331,28.13049788,43.63650659,35.54383443,19.06344039,4.053641186,,,False,False,False,circle 1 to capsule clearance is -9.280 mm; minimum is 1.000 mm,
83,22.75369407,35.90748885,32.67029708,38.96318959,39.55055876,12.75550985,8.060788863,,,False,False,False,capsule edge clearance is 0.573 mm; minimum is 2.000 mm,
84,12.4119561,38.06256036,14.09282625,8.961226347,47.71035703,12.31242455,27.36592571,,,False,False,False,capsule edge clearance is -6.311 mm; minimum is 2.000 mm,
85,21.08034347,41.05928087,32.41059628,30.22812713,17.42857841,14.85627895,64.02160199,,,False,False,False,capsule edge clearance is -3.881 mm; minimum is 2.000 mm,
